Age,Age_Coded_Bin,Gender,Gender_Coded,Country,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,UsageOfAppsAvg,SleepDurationMinutesAvg,SDurC,SDist,SDist_SQRT,SDistC,SleepingTimeAverageWeekly,SleepingTimeWeeklyCategory,STime,WakeupTimeWeeklyAverage,WakeupTimeWeeklyCategory,WTime
25 - 34,1.0,Male,1.0,India,6,6,6,3,6,462.12,333.75,1,15.9,3.99,1,12:52:43 AM,Poor Sleep Time,4,6:26:34 AM,Early Wakup,1
15 - 24,0.0,Male,1.0,Germany,5,6,5,7,8,477.02,553.36,3,15.92,3.99,1,11:56:17 PM,Delayed Sleep,3,9:09:43 AM,Poor Wakeup,4
25 - 34,1.0,Male,1.0,Brazil,6,6,4,9,10,478.39,296.67,1,0.0,0.0,0,3:02:17 AM,Poor Sleep Time,4,9:01:34 AM,Poor Wakeup,4
15 - 24,0.0,Male,1.0,India,8,6,10,3,9,483.89,434.96,2,1.0,1.0,1,12:22:43 AM,Poor Sleep Time,4,7:37:34 AM,Regular Wakeup,2
25 - 34,1.0,Male,1.0,United States,8,5,5,6,10,494.32,448.65,2,0.0,0.0,0,10:26:26 PM,Regular Sleep,2,5:55:00 AM,Early Wakup,1
15 - 24,0.0,Male,1.0,United States,4,5,8,6,6,504.38,468.63,2,17.88,4.23,1,1:45:00 AM,Poor Sleep Time,4,9:33:43 AM,Poor Wakeup,4
15 - 24,0.0,Male,1.0,United States,6,4,7,5,5,541.94,463.11,2,16.64,4.08,1,1:02:34 AM,Poor Sleep Time,4,8:45:51 AM,Delayed Wakeup,3
15 - 24,0.0,Male,1.0,India,6,7,6,5,8,555.6,344.36,1,17.01,4.12,1,12:39:17 AM,Poor Sleep Time,4,6:23:26 AM,Early Wakup,1
15 - 24,0.0,Male,1.0,India,7,9,6,5,7,561.46,391.0,1,2.36,1.54,1,12:53:09 AM,Poor Sleep Time,4,7:24:17 AM,Regular Wakeup,2
15 - 24,0.0,Male,1.0,United States,4,5,9,4,9,570.05,401.44,1,0.0,0.0,0,2:33:34 AM,Poor Sleep Time,4,9:14:51 AM,Poor Wakeup,4
15 - 24,0.0,Male,1.0,India,6,6,3,8,7,613.16,384.51,1,15.89,3.99,1,12:09:17 AM,Poor Sleep Time,4,6:34:00 AM,Early Wakup,1
25 - 34,1.0,Male,1.0,United Kingdom,3,4,5,8,7,800.79,306.93,1,3.11,1.76,1,12:52:26 AM,Poor Sleep Time,4,5:59:34 AM,Early Wakup,1
15 - 24,0.0,Male,1.0,India,4,4,3,10,6,931.27,299.41,1,10.38,3.22,1,12:36:26 AM,Poor Sleep Time,4,5:35:43 AM,Early Wakup,1
35 - 44,1.0,Female,2.0,France,9,8,8,10,9,64.1,557.14,3,0.0,0.0,0,10:34:00 PM,Regular Sleep,2,7:51:09 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,Germany,6,5,9,5,7,70.09,388.13,1,0.0,0.0,0,9:37:09 PM,Early Sleep,1,9:53:43 AM,Poor Wakeup,4
15 - 24,0.0,Female,2.0,Australia,8,5,8,4,8,88.02,519.86,2,8.17,2.86,1,10:20:09 PM,Regular Sleep,2,6:59:34 AM,Early Wakup,1
35 - 44,1.0,Female,2.0,France,6,9,7,4,4,88.43,514.71,2,0.0,0.0,0,11:06:09 PM,Delayed Sleep,3,7:41:09 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,Australia,6,9,6,4,9,88.79,543.8,3,6.99,2.64,1,10:42:26 PM,Regular Sleep,2,7:46:26 AM,Regular Wakeup,2
15 - 24,0.0,Female,2.0,Brazil,6,7,5,6,6,106.11,447.62,2,0.47,0.69,1,12:23:09 AM,Poor Sleep Time,4,7:50:43 AM,Regular Wakeup,2
25 - 34,1.0,Female,2.0,Canada,6,5,9,7,8,110.36,411.07,1,0.0,0.0,0,11:57:00 PM,Delayed Sleep,3,6:48:17 AM,Early Wakup,1
15 - 24,0.0,Female,2.0,United States,6,8,7,8,5,130.65,508.9,2,0.26,0.51,1,11:45:17 PM,Delayed Sleep,3,8:14:34 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,France,9,8,3,8,8,132.04,529.89,2,0.76,0.87,1,12:28:26 AM,Poor Sleep Time,4,9:18:34 AM,Poor Wakeup,4
25 - 34,1.0,Female,2.0,Australia,6,8,8,8,6,134.94,646.69,3,2.15,1.47,1,9:59:34 PM,Early Sleep,1,8:46:00 AM,Delayed Wakeup,3
25 - 34,1.0,Female,2.0,United States,2,7,8,5,9,135.82,577.91,3,0.1,0.32,1,11:09:00 PM,Delayed Sleep,3,8:47:09 AM,Delayed Wakeup,3
15 - 24,0.0,Female,2.0,Germany,5,9,8,5,9,142.48,432.39,2,1.81,1.35,1,12:22:34 AM,Poor Sleep Time,4,7:35:17 AM,Regular Wakeup,2
